2021-09-10T15:30:00+01:00,587,620
2021-09-10T15:35:00+01:00,549,508
2021-09-10T15:40:00+01:00,593,590
2021-09-10T15:45:00+01:00,613,606
2021-09-10T15:50:00+01:00,592,539
2021-09-10T15:55:00+01:00,573,503
2021-09-10T16:00:00+01:00,543,438
2021-09-10T16:05:00+01:00,411,295
2021-09-10T16:10:00+01:00,344,237
2021-09-10T16:15:00+01:00,224,155
2021-09-10T16:20:00+01:00,200,148
2021-09-10T16:25:00+01:00,172,119
2021-09-10T16:30:00+01:00,135,103
2021-09-10T16:35:00+01:00,145,111
2021-09-10T16:40:00+01:00,111,80
2021-09-10T16:45:00+01:00,94,84
2021-09-10T16:50:00+01:00,233,293
2021-09-10T16:55:00+01:00,517,538
2021-09-10T17:00:00+01:00,275,179
2021-09-10T17:05:00+01:00,169,127
2021-09-10T17:10:00+01:00,214,178
2021-09-10T17:15:00+01:00,226,164
2021-09-10T17:20:00+01:00,148,95
2021-09-10T17:25:00+01:00,117,77
2021-09-10T17:30:00+01:00,92,61
2021-09-10T17:35:00+01:00,74,55
2021-09-10T17:40:00+01:00,93,83
2021-09-10T17:45:00+01:00,86,70
2021-09-10T17:50:00+01:00,108,106
2021-09-10T17:55:00+01:00,139,111
2021-09-10T18:00:00+01:00,87,50
2021-09-10T18:05:00+01:00,24,10
2021-09-10T18:10:00+01:00,50,58
2021-09-10T18:15:00+01:00,184,194
2021-09-10T18:20:00+01:00,187,149
2021-09-10T18:25:00+01:00,137,117
2021-09-10T18:30:00+01:00,109,88
2021-09-10T18:35:00+01:00,94,79
2021-09-10T18:40:00+01:00,93,92
2021-09-10T18:45:00+01:00,83,71
2021-09-10T18:50:00+01:00,49,23
2021-09-10T18:55:00+01:00,12,11
2021-09-10T19:00:00+01:00,10,9
2021-09-10T19:05:00+01:00,6,8
2021-09-10T19:10:00+01:00,5,7
2021-09-10T19:15:00+01:00,4,5
2021-09-10T19:20:00+01:00,10,10
2021-09-10T19:25:00+01:00,0,0
